0  4
0  47
0  65
0  69
0  71
0  72
0  79
0  87
0  98
1  2
1  12
1  24
1  42
1  47
1  54
1  68
2  20
2  40
2  54
2  58
2  62
2  64
2  75
2  85
2  86
2  97
3  6
3  8
3  44
3  49
4  7
4  14
4  22
4  24
4  29
4  75
4  85
4  87
5  19
5  31
5  34
5  38
5  49
5  62
5  67
5  69
5  75
5  87
6  13
6  28
6  31
6  38
6  45
6  52
6  53
6  85
6  98
7  10
7  14
7  16
7  19
7  23
7  26
7  33
7  37
7  44
7  51
7  69
7  81
7  83
7  93
7  96
8  9
8  17
8  30
8  37
8  49
8  66
8  76
8  77
8  80
8  83
9  11
9  12
9  29
9  30
9  32
9  40
9  43
9  50
9  56
9  70
9  79
10  11
10  17
10  57
10  59
11  14
11  17
11  18
11  29
11  33
11  36
11  42
11  46
11  50
11  74
11  78
11  85
11  86
12  18
12  21
12  25
12  43
12  59
12  61
12  66
12  79
12  82
12  85
12  94
13  26
13  36
13  40
13  42
13  52
13  56
13  72
13  84
13  89
13  95
13  97
14  23
14  24
14  40
14  54
14  60
14  71
14  74
14  92
15  45
15  71
15  84
15  86
15  87
15  99
16  19
16  24
16  67
16  70
16  86
16  97
17  25
17  35
17  84
17  85
17  89
17  90
18  42
18  50
18  56
18  80
18  99
19  34
19  41
19  43
19  55
19  76
19  79
19  81
20  26
20  33
20  51
20  63
20  68
20  72
20  77
21  23
21  36
21  47
21  76
21  80
21  91
22  26
22  39
22  48
22  54
22  56
22  62
22  84
22  85
22  92
22  96
23  35
23  37
23  38
23  40
23  59
23  63
23  78
24  44
24  45
24  47
24  56
24  62
24  65
24  72
24  85
25  29
25  33
25  37
25  59
25  67
25  71
25  96
26  33
26  41
26  52
26  63
26  67
26  80
27  38
27  65
27  76
27  80
27  83
27  97
28  29
28  51
28  59
28  72
28  78
28  92
29  37
29  61
29  70
29  80
29  81
29  83
29  96
30  35
30  52
30  54
30  56
30  58
30  67
30  68
30  90
30  96
31  50
31  53
31  62
31  70
31  71
31  74
31  84
32  59
32  66
32  67
32  80
32  84
32  89
32  93
32  95
33  42
33  45
33  52
33  56
33  59
33  65
33  70
33  74
33  83
33  95
33  98
34  75
34  77
34  83
34  86
35  38
35  42
35  45
35  46
35  89
36  43
36  49
36  80
36  94
36  96
36  97
37  48
37  73
38  72
38  73
38  77
38  99
39  44
39  72
39  77
39  83
39  93
39  95
39  97
40  43
40  54
40  57
40  65
40  71
40  81
41  53
41  80
41  88
41  89
42  65
42  69
42  88
42  98
43  48
43  54
43  59
43  66
43  68
43  85
43  92
43  96
43  97
44  45
44  74
44  80
44  86
44  92
45  53
45  84
46  52
46  57
46  63
46  75
46  80
46  83
46  89
47  48
47  57
47  67
47  84
47  85
48  63
48  67
48  69
48  76
48  98
49  53
49  61
49  65
49  78
49  89
50  66
50  70
51  52
51  64
51  67
51  69
51  72
51  77
51  88
51  90
52  83
52  99
53  59
53  63
53  72
53  80
53  82
53  99
54  58
54  68
54  95
55  56
55  61
55  73
56  59
56  67
56  71
56  81
56  91
56  93
57  80
57  86
57  90
57  96
58  59
58  80
59  60
59  78
59  87
60  65
60  92
61  62
61  64
61  82
61  84
61  87
61  89
61  96
62  70
62  73
63  69
63  75
63  90
63  96
64  81
65  73
65  76
65  97
66  74
66  87
66  88
66  90
66  94
67  75
67  87
67  89
67  94
67  96
68  71
68  72
68  83
68  84
68  96
68  97
69  80
69  82
69  85
69  87
69  89
69  94
70  93
70  97
71  76
71  87
71  89
72  82
72  84
72  89
73  89
73  90
74  94
75  94
75  99
76  78
76  80
76  88
76  93
77  81
77  92
77  98
78  87
78  99
79  85
79  89
80  89
81  84
81  92
82  99
83  84
83  91
85  88
86  87
86  94
87  88
87  93
89  91
89  99
93  95
94  95
94  99
